"trial"	"acc"	"accSE"	"rt"	"rtSE"	"confCor"	"confCorSE"	"confIncor"	"confIncorSE"	"aveCWordLengthNBCor"	"aveCWordLengthCor"	"aveWordLengthCor"	"aveUniqueWordPercent"	"aveUniqueCWordPercent"	"aveUniqueCWordNBPercent"	"aveUniqueWordPercentCor"	"aveUniqueCWordPercentCor"	"aveUniqueCWordNBPercentCor"
"pbp02"	0.875	0.0689596605459213	23.2697619047619	4.08575320322235	3.28571428571429	0.15649215928719	2	0.577350269189626	2.6304347826087	2.92391304347826	4.1195652173913	0.308747354350006	0.304787704555506	0.322265491562479	0.308747354350006	0.304787704555506	0.322265491562479
"pbp04"	0.625	0.100946606635906	27.59	4.69642583653732	3.2	0.242997158517582	2.33333333333333	0.235702260395516	2.075	2.725	3.275	0.353206462483893	0.323741007194245	0.399082568807339	0.312820512820513	0.275229357798165	0.349397590361446
"pbp09"	0.285714285714286	0.101015254455221	37.3858333333333	12.2681771409249	3.33333333333333	0.210818510677892	1.93333333333333	0.22817425810878	4.25	4.38333333333333	6.06666666666667	0.305361305361305	0.333676152784649	0.338270291457849	0.278136796013891	0.284333024548402	0.285384331116038
"pbp11b"	0.380952380952381	0.108588135723727	47.394	8.94352790130542	2.875	0.295048422176041	2.38461538461538	0.289527943349647	2.82051282051282	3.47435897435897	4.24358974358974	0.353970624844411	0.315686274509804	0.367098591549296	0.317208622579467	0.276858827382902	0.327441706082483
"pbp13"	0.115384615384615	0.0638971066378314	65.9713333333333	24.0326666736017	2.66666666666667	0.333333333333333	2.08695652173913	0.165300582342502	3.46	3.94	5.54	0.391878841088674	0.398413631022327	0.459760132340778	0.468838230680749	0.466494845360825	0.508420208500401
"pbp16"	0.478260869565217	0.106499554034051	26.0439090909091	3.60280577140182	3.36363636363636	0.203278907045435	2.08333333333333	0.259904799975886	3.21428571428571	3.95714285714286	7	0.229987999466643	0.31444209039548	0.370234674329502	0.212244897959184	0.303226983630487	0.355523072060683
"pbp18"	0.208333333333333	0.0846811296559438	45.704	7.06284320228051	2.8	0.58309518948453	1.63157894736842	0.156917051052617	3.2375	3.425	4.425	0.342209507042254	0.331965722139133	0.341957153231663	0.318521714121369	0.299006711409396	0.304831932773109
"pbp19"	0.15	0.0819178021909125	36.4693333333333	9.59959819182264	3.33333333333333	0.333333333333333	1.47058823529412	0.174002346561753	3.48076923076923	3.78846153846154	5.76923076923077	0.429098423388948	0.467365967365967	0.499619482496195	0.431313131313131	0.466977225672878	0.490123456790123
"pbp24"	0.173913043478261	0.0808104675899639	27.32725	5.04347822068263	3.25	0.478713553878169	1.73684210526316	0.184836030751802	4.45588235294118	4.45588235294118	6.29411764705882	0.311512027491409	0.350753768844221	0.350753768844221	0.288165266106443	0.307647058823529	0.307647058823529
"pbp26"	0.35	0.109424330980483	35.2878571428571	9.71037515441375	3.14285714285714	0.404061017820884	1.76923076923077	0.230769230769231	2.96511627906977	3.03488372093023	4.7906976744186	0.243328438570729	0.329900803023146	0.330985915492958	0.206303758689761	0.298825601879037	0.298013041338583
"pbp28"	0.521739130434783	0.106499554034051	35.0865833333333	6.98308501488606	3	0.174077655955698	2.09090909090909	0.342571703298487	3.75	4.05	5.975	0.509664094770478	0.547429763219237	0.573641334987034	0.535327995504987	0.539540229885058	0.55625
