"rt"	"trial_type"	"trial_index"	"trial_index_global"	"time_elapsed"	"subject"	"condition"	"problems"	"workerId"	"moveNum"	"src"	"category"	"imageName"	"init_locationsX"	"init_locationsY"	"movesX"	"movesY"	"dropTime"	"dropCorrect"	"dropPosition"	"final_locationsX"	"final_locationsY"	"problem_type"	"responseL"	"responseR"
35527	"active-sort"	0	1	126545	"p104932"	"active"	"pbp16"	"A3K43RI91Y567E"	1	"lib/images/pbp34/problem/pbp34_2-4.jpg"	"right"	"pbp34_2-4.jpg"	425	235	942	241	10010	1	"right"	942	241	"pbp34"	"the square was proceeded by a circle"	"the circle was proceeded by a square"
35527	"active-sort"	0	1	126545	"p104932"	"active"	"pbp16"	"A3K43RI91Y567E"	2	"lib/images/pbp34/problem/pbp34_2-1.jpg"	"left"	"pbp34_2-1.jpg"	425	345	237	241	14104	1	"left"	237	241	"pbp34"	"the square was proceeded by a circle"	"the circle was proceeded by a square"
35527	"active-sort"	0	1	126545	"p104932"	"active"	"pbp16"	"A3K43RI91Y567E"	3	"lib/images/pbp34/problem/pbp34_3-1.jpg"	"left"	"pbp34_3-1.jpg"	425	455	237	348	16491	1	"left"	237	348	"pbp34"	"the square was proceeded by a circle"	"the circle was proceeded by a square"
35527	"active-sort"	0	1	126545	"p104932"	"active"	"pbp16"	"A3K43RI91Y567E"	4	"lib/images/pbp34/problem/pbp34_1-2.jpg"	"left"	"pbp34_1-2.jpg"	535	455	237	455	18367	1	"left"	237	455	"pbp34"	"the square was proceeded by a circle"	"the circle was proceeded by a square"
35527	"active-sort"	0	1	126545	"p104932"	"active"	"pbp16"	"A3K43RI91Y567E"	5	"lib/images/pbp34/problem/pbp34_2-2.jpg"	"left"	"pbp34_2-2.jpg"	645	455	125	455	20578	1	"left"	125	455	"pbp34"	"the square was proceeded by a circle"	"the circle was proceeded by a square"
35527	"active-sort"	0	1	126545	"p104932"	"active"	"pbp16"	"A3K43RI91Y567E"	6	"lib/images/pbp34/problem/pbp34_3-4.jpg"	"right"	"pbp34_3-4.jpg"	755	455	942	348	22742	1	"right"	942	348	"pbp34"	"the square was proceeded by a circle"	"the circle was proceeded by a square"
35527	"active-sort"	0	1	126545	"p104932"	"active"	"pbp16"	"A3K43RI91Y567E"	7	"lib/images/pbp34/problem/pbp34_1-3.jpg"	"right"	"pbp34_1-3.jpg"	755	345	1054	241	24286	1	"right"	1054	241	"pbp34"	"the square was proceeded by a circle"	"the circle was proceeded by a square"
35527	"active-sort"	0	1	126545	"p104932"	"active"	"pbp16"	"A3K43RI91Y567E"	8	"lib/images/pbp34/problem/pbp34_3-3.jpg"	"right"	"pbp34_3-3.jpg"	755	235	1054	348	26164	1	"right"	1054	348	"pbp34"	"the square was proceeded by a circle"	"the circle was proceeded by a square"
35527	"active-sort"	0	1	126545	"p104932"	"active"	"pbp16"	"A3K43RI91Y567E"	9	"lib/images/pbp34/problem/pbp34_2-3.jpg"	"right"	"pbp34_2-3.jpg"	645	345	942	455	28622	1	"right"	942	455	"pbp34"	"the square was proceeded by a circle"	"the circle was proceeded by a square"
35527	"active-sort"	0	1	126546	"p104932"	"active"	"pbp16"	"A3K43RI91Y567E"	10	"lib/images/pbp34/problem/pbp34_1-4.jpg"	"right"	"pbp34_1-4.jpg"	535	345	1054	455	30101	1	"right"	1054	455	"pbp34"	"the square was proceeded by a circle"	"the circle was proceeded by a square"
35527	"active-sort"	0	1	126546	"p104932"	"active"	"pbp16"	"A3K43RI91Y567E"	11	"lib/images/pbp34/problem/pbp34_1-1.jpg"	"left"	"pbp34_1-1.jpg"	645	235	125	241	31469	1	"left"	125	241	"pbp34"	"the square was proceeded by a circle"	"the circle was proceeded by a square"
35527	"active-sort"	0	1	126546	"p104932"	"active"	"pbp16"	"A3K43RI91Y567E"	12	"lib/images/pbp34/problem/pbp34_3-2.jpg"	"left"	"pbp34_3-2.jpg"	535	235	125	348	32522	1	"left"	125	348	"pbp34"	"the square was proceeded by a circle"	"the circle was proceeded by a square"
45904	"active-sort"	0	3	177147	"p104932"	"active"	"pbp16"	"A3K43RI91Y567E"	1	"lib/images/pbp16/problem/pbp16_1-1.jpg"	"left"	"pbp16_1-1.jpg"	535	345	931	251	11569	0	"right"	237	241	"pbp16"	"the square was proceeded by a circle"	"the circle was proceeded by a square"
45904	"active-sort"	0	3	177147	"p104932"	"active"	"pbp16"	"A3K43RI91Y567E"	2	"lib/images/pbp16/problem/pbp16_1-1.jpg"	"left"	"pbp16_1-1.jpg"	535	345	237	241	13472	1	"left"	237	241	"pbp16"	"the square was proceeded by a circle"	"the circle was proceeded by a square"
45904	"active-sort"	0	3	177147	"p104932"	"active"	"pbp16"	"A3K43RI91Y567E"	3	"lib/images/pbp16/problem/pbp16_1-4.jpg"	"right"	"pbp16_1-4.jpg"	645	235	229	334	15683	0	"left"	942	241	"pbp16"	"the square was proceeded by a circle"	"the circle was proceeded by a square"
