rt	trial_type	trial_index	trial_index_global	time_elapsed	subject	condition	problems	moveNum	src	category	imageName	init_locationsX	init_locationsY	movesX	movesY	dropTime	dropCorrect	dropPosition	final_locationsX	final_locationsY	problem_type	responseL	responseR
35527	active-sort	0	1	126546	p104932	active	pbp16	12	lib/images/pbp34/problem/pbp34_3-2.jpg	left	pbp34_3-2.jpg	535	235	125	348	32522	1	left	125	348	pbp34	the square was proceeded by a circle	the circle was proceeded by a square
45904	active-sort	0	3	177147	p104932	active	pbp16	1	lib/images/pbp16/problem/pbp16_1-1.jpg	left	pbp16_1-1.jpg	535	345	931	251	11569	0	right	237	241	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
45904	active-sort	0	3	177147	p104932	active	pbp16	2	lib/images/pbp16/problem/pbp16_1-1.jpg	left	pbp16_1-1.jpg	535	345	237	241	13472	1	left	237	241	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
45904	active-sort	0	3	177147	p104932	active	pbp16	3	lib/images/pbp16/problem/pbp16_1-4.jpg	right	pbp16_1-4.jpg	645	235	229	334	15683	0	left	942	241	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
45904	active-sort	0	3	177147	p104932	active	pbp16	4	lib/images/pbp16/problem/pbp16_1-4.jpg	right	pbp16_1-4.jpg	645	235	942	241	17095	1	right	942	241	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
45904	active-sort	0	3	177147	p104932	active	pbp16	5	lib/images/pbp16/problem/pbp16_2-3.jpg	right	pbp16_2-3.jpg	755	235	942	348	25344	1	right	942	348	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
45904	active-sort	0	3	177148	p104932	active	pbp16	6	lib/images/pbp16/problem/pbp16_1-2.jpg	left	pbp16_1-2.jpg	755	345	237	348	27982	1	left	237	348	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
45904	active-sort	0	3	177148	p104932	active	pbp16	7	lib/images/pbp16/problem/pbp16_3-4.jpg	right	pbp16_3-4.jpg	645	345	942	455	30919	1	right	942	455	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
45904	active-sort	0	3	177148	p104932	active	pbp16	8	lib/images/pbp16/problem/pbp16_3-2.jpg	left	pbp16_3-2.jpg	755	455	237	455	34203	1	left	237	455	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
45904	active-sort	0	3	177148	p104932	active	pbp16	9	lib/images/pbp16/problem/pbp16_2-2.jpg	left	pbp16_2-2.jpg	645	455	125	455	36731	1	left	125	455	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
