,ResponseID,StartDate,EndDate,timeP1_1,timeP1_2,timeP1_3,timeP1_4,LeftP1,RightP2,timeP2_1,timeP2_2,timeP2_3,timeP2_4,LeftP2,RightP2.1,time2.1Sh.2.,Age,Sex,Lang,Lang_TEXT,DO.BR.FL_65,DO.BR.FL_71,DO.BR.FL_90,DO.BR.FL_72,DO.BR.FL_91,DO.BR.FL_73,DO.BR.FL_94,DO.BR.FL_74,DO.BR.FL_97,trialCode,time_1,species,trialKind,stimOrder,time_2,time_3,time_4,leftResponse,rightResponse,ComparisonType,SharedType,SharedTypeNum,trial,ResponseOne,ResponseTwo,wordLenRespOne,wordLenRespTwo,wordsRespOne,wordsRespTwo,taggedWordsRespOne,taggedWordsRespTwo,contentWordsRespOne,contentWordsRespTwo,contentWordsRespOneNoBe,contentWordsRespTwoNoBe,contentWordLenRespOne,contentWordLenRespTwo,contentWordLenRespOneNoBe,contentWordLenRespTwoNoBe,uniqueWordPercOne,uniqueWordPercTwo,uniqueContentWordPercOne,uniqueContentWordPercTwo,uniqueContentWordNoBePercOne,uniqueContentWordNoBePercTwo
200,R_9p1vpKtLWhvSGLD,1/15/16 15:22,1/15/16 15:27,4.301,9.605,13.926,2,its a circle,its a triangle,2.553,2.553,14.743,1,this line is longer,this line i sshorter,,21,1,1,,FL_97|FL_72|FL_71|FL_94|FL_74|FL_73|FL_91|FL_90,FL_L86,FL_L81,FL_L62,FL_L89,FL_L69,FL_L92,FL_L64,FL_L96,time3.1Sh_1.1.,1.881,3,1Sh,1,21.691,30.756,2,sharper corners,smoother corners,shape,surface,1,3_1Sh,sharper corners,smoother corners,2,2,"[u'sharper', u'corners']","[u'smoother', u'corners']","[(u'sharper', 'JJR'), (u'corners', 'NNS')]","[(u'smoother', 'PRP$'), (u'corners', 'NNS')]","[(u'sharper', 'JJR'), (u'corners', 'NNS')]","[(u'corners', 'NNS')]","[(u'sharper', 'JJR'), (u'corners', 'NNS')]","[(u'corners', 'NNS')]",2,1,2,1,0.8125,0.869565217,0.813953488,0.87804878,0.804878049,0.875
201,R_2q9POO3pqmktnrU,1/15/16 15:25,1/15/16 15:33,4.55,17.183,29.722,2,The figure is round.,The figure has sides or edges.,2.386,15.893,28.515,2,It is a long horizontal line.,It is a shorter horizontal line.,,32,2,1,,FL_94|FL_71|FL_72|FL_91|FL_97|FL_74|FL_73|FL_90,FL_L86,FL_L81,FL_L68,FL_L89,FL_L69,FL_L92,FL_L64,FL_L95,time3.1Sh_1.1.,2.868,3,1Sh,1,64.426,81.896,6,The images seems to be moving slowly clockwise.,The images seems to be moving faster clockwise.,shape,surface,1,3_1Sh,The images seems to be moving slowly clockwise.,The images seems to be moving faster clockwise.,8,8,"[u'The', u'images', u'seems', u'to', u'be', u'moving', u'slowly', u'clockwise.']","[u'The', u'images', u'seems', u'to', u'be', u'moving', u'faster', u'clockwise.']","[(u'The', 'DT'), (u'images', 'NNS'), (u'seems', 'VBZ'), (u'to', 'TO'), (u'be', 'VB'), (u'moving', 'VBG'), (u'slowly', 'RB'), (u'clockwise', 'VB'), (u'.', '.')]","[(u'The', 'DT'), (u'images', 'NNS'), (u'seems', 'VBZ'), (u'to', 'TO'), (u'be', 'VB'), (u'moving', 'VBG'), (u'faster', 'JJR'), (u'clockwise', 'NN'), (u'.', '.')]","[(u'images', 'NNS'), (u'seems', 'VBZ'), (u'be', 'VB'), (u'moving', 'VBG'), (u'slowly', 'RB'), (u'clockwise', 'VB')]","[(u'images', 'NNS'), (u'seems', 'VBZ'), (u'be', 'VB'), (u'moving', 'VBG'), (u'faster', 'JJR'), (u'clockwise', 'NN')]","[(u'images', 'NNS'), (u'seems', 'VBZ'), (u'moving', 'VBG'), (u'slowly', 'RB'), (u'clockwise', 'VB')]","[(u'images', 'NNS'), (u'seems', 'VBZ'), (u'moving', 'VBG'), (u'faster', 'JJR'), (u'clockwise', 'NN')]",6,6,5,5,0.8125,0.869565217,0.813953488,0.87804878,0.804878049,0.875
202,R_7P2v2GHsUPqaixr,1/15/16 15:51,1/15/16 15:54,1.128,1.128,6.956,1,circle,triangle,1.153,1.353,10.567,2,lengthier line,less lengthier line,,27,1,1,,FL_74|FL_90|FL_72|FL_71|FL_94|FL_97|FL_91|FL_73,FL_L86,FL_L81,FL_L62,FL_L88,FL_L63,FL_L92,FL_L64,FL_L95,time3.1Sh_1.1.,0.732,3,1Sh,1,0.732,11.994,1,more curvature,less curvature,shape,surface,1,3_1Sh,more curvature,less curvature,2,2,"[u'more', u'curvature']","[u'less', u'curvature']","[(u'more', 'JJR'), (u'curvature', 'NN')]","[(u'less', 'JJR'), (u'curvature', 'NN')]","[(u'more', 'JJR'), (u'curvature', 'NN')]","[(u'less', 'JJR'), (u'curvature', 'NN')]","[(u'more', 'JJR'), (u'curvature', 'NN')]","[(u'less', 'JJR'), (u'curvature', 'NN')]",2,2,2,2,0.8125,0.869565217,0.813953488,0.87804878,0.804878049,0.875
203,R_1FKVGqPxtIE4pdF,1/15/16 15:53,1/15/16 15:58,1.46,1.82,9.317,2,circle,triangle,1.611,1.611,9.266,1,long line,short line,,43,2,1,,FL_72|FL_97|FL_94|FL_91|FL_90|FL_74|FL_71|FL_73,FL_L4,FL_L78,FL_L62,FL_L89,FL_L69,FL_L92,FL_L64,FL_L95,time3.1Sh_1.1.,1.543,3,1Sh,1,1.543,23.082,1,spiral pattern,incomplete spiral pattern,shape,surface,1,3_1Sh,spiral pattern,incomplete spiral pattern,2,3,"[u'spiral', u'pattern']","[u'incomplete', u'spiral', u'pattern']","[(u'spiral', 'JJ'), (u'pattern', 'NN')]","[(u'incomplete', 'JJ'), (u'spiral', 'JJ'), (u'pattern', 'NN')]","[(u'spiral', 'JJ'), (u'pattern', 'NN')]","[(u'incomplete', 'JJ'), (u'spiral', 'JJ'), (u'pattern', 'NN')]","[(u'spiral', 'JJ'), (u'pattern', 'NN')]","[(u'incomplete', 'JJ'), (u'spiral', 'JJ'), (u'pattern', 'NN')]",2,3,2,3,0.8125,0.869565217,0.813953488,0.87804878,0.804878049,0.875
204,R_uvHVTlMiI3QmmMF,1/15/16 15:52,1/15/16 15:58,3.957,3.957,24.545,1,no sides at all,has three sides,3.451,3.451,27.601,1,left line is longer,right line is shorter,,28,1,1,,FL_72|FL_90|FL_71|FL_94|FL_97|FL_73|FL_74|FL_91,FL_L4,FL_L81,FL_L62,FL_L88,FL_L69,FL_L92,FL_L70,FL_L95,time3.1Sh_1.1.,2.746,3,1Sh,1,4.587,44.246,2,ink is not too black,drawn in darker ink,shape,surface,1,3_1Sh,ink is not too black,drawn in darker ink,5,4,"[u'ink', u'is', u'not', u'too', u'black']","[u'drawn', u'in', u'darker', u'ink']","[(u'ink', 'NN'), (u'is', 'VBZ'), (u'not', 'RB'), (u'too', 'RB'), (u'black', 'RB')]","[(u'drawn', 'NN'), (u'in', 'IN'), (u'darker', 'NN'), (u'ink', 'NN')]","[(u'ink', 'NN'), (u'is', 'VBZ'), (u'not', 'RB'), (u'too', 'RB'), (u'black', 'RB')]","[(u'drawn', 'NN'), (u'darker', 'NN'), (u'ink', 'NN')]","[(u'ink', 'NN'), (u'not', 'RB'), (u'too', 'RB'), (u'black', 'RB')]","[(u'drawn', 'NN'), (u'darker', 'NN'), (u'ink', 'NN')]",5,3,4,3,0.8125,0.869565217,0.813953488,0.87804878,0.804878049,0.875
205,R_3n2XgpWlbE5MbDx,1/15/16 15:53,1/15/16 15:59,6.017,15.044,28.958,2,"Round, no edges","Triangle, 3 sides, 3 angles",6.732,14.783,15.42,3,Long line,short line,,27,2,1,,FL_72|FL_91|FL_97|FL_71|FL_90|FL_94|FL_74|FL_73,FL_L4,FL_L81,FL_L68,FL_L89,FL_L63,FL_L92,FL_L64,FL_L95,time3.1Sh_1.1.,5.191,3,1Sh,1,14.019,25.285,2,crab like,walrus tusks ,shape,surface,1,3_1Sh,crab like,walrus tusks ,2,2,"[u'crab', u'like']","[u'walrus', u'tusks']","[(u'crab', 'NN'), (u'like', 'IN')]","[(u'walrus', 'NN'), (u'tusks', 'NNS')]","[(u'crab', 'NN')]","[(u'walrus', 'NN'), (u'tusks', 'NNS')]","[(u'crab', 'NN')]","[(u'walrus', 'NN'), (u'tusks', 'NNS')]",1,2,1,2,0.8125,0.869565217,0.813953488,0.87804878,0.804878049,0.875
206,R_3oGwlvMwRJfLkLL,1/15/16 15:53,1/15/16 15:59,9.586,9.586,19.293,1,circle,triangle,2.088,2.088,11.196,1,long line,short line,,55,1,1,,FL_97|FL_74|FL_71|FL_90|FL_91|FL_72|FL_73|FL_94,FL_L86,FL_L81,FL_L62,FL_L89,FL_L63,FL_L92,FL_L70,FL_L95,time3.1Sh_1.1.,6.245,3,1Sh,1,6.245,17.1,1,five appendages,four appendages,shape,surface,1,3_1Sh,five appendages,four appendages,2,2,"[u'five', u'appendages']","[u'four', u'appendages']","[(u'five', 'CD'), (u'appendages', 'NNS')]","[(u'four', 'PRP$'), (u'appendages', 'NNS')]","[(u'five', 'CD'), (u'appendages', 'NNS')]","[(u'appendages', 'NNS')]","[(u'five', 'CD'), (u'appendages', 'NNS')]","[(u'appendages', 'NNS')]",2,1,2,1,0.8125,0.869565217,0.813953488,0.87804878,0.804878049,0.875
207,R_2diNoAtgQloncCP,1/15/16 15:17,1/15/16 15:22,1.237,6.701,20.361,3,curved line,straight lines,1.01,3.364,7.325,3,longer,shorter,1,32,2,1,,FL_73|FL_90|FL_72|FL_74|FL_91|FL_97|FL_94|FL_71,FL_L86,FL_L78,FL_L62,FL_L88,FL_L63,FL_L92,FL_L64,FL_L95,time3.1Sh_1.2.,1.141,3,1Sh,2,3.844,29.159,2,larger inside,smaller inside,shape,surface,1,3_1Sh,smaller inside,larger inside,2,2,"[u'smaller', u'inside']","[u'larger', u'inside']","[(u'smaller', 'JJR'), (u'inside', 'NN')]","[(u'larger', 'JJR'), (u'inside', 'NN')]","[(u'smaller', 'JJR'), (u'inside', 'NN')]","[(u'larger', 'JJR'), (u'inside', 'NN')]","[(u'smaller', 'JJR'), (u'inside', 'NN')]","[(u'larger', 'JJR'), (u'inside', 'NN')]",2,2,2,2,0.8125,0.869565217,0.813953488,0.87804878,0.804878049,0.875
208,R_2e55U34yqTqt794,1/15/16 15:28,1/15/16 15:33,9.728,9.728,34.492,1,it's a circle in the square,it's a triangle in the square,2.43,2.43,13.844,1,the line is longer,the line is shorter,,39,1,1,,FL_91|FL_71|FL_94|FL_90|FL_73|FL_72|FL_97|FL_74,FL_L86,FL_L78,FL_L62,FL_L88,FL_L63,FL_L92,FL_L70,FL_L96,time3.1Sh_1.2.,7.147,3,1Sh,2,7.147,31.673,1,toucan sam lookalike,looks like a falling bird,shape,surface,1,3_1Sh,looks like a falling bird,toucan sam lookalike,5,3,"[u'looks', u'like', u'a', u'falling', u'bird']","[u'toucan', u'sam', u'lookalike']","[(u'looks', 'NNS'), (u'like', 'IN'), (u'a', 'DT'), (u'falling', 'NN'), (u'bird', 'NN')]","[(u'toucan', 'NN'), (u'sam', 'NN'), (u'lookalike', 'NN')]","[(u'looks', 'NNS'), (u'falling', 'NN'), (u'bird', 'NN')]","[(u'toucan', 'NN'), (u'sam', 'NN'), (u'lookalike', 'NN')]","[(u'looks', 'NNS'), (u'falling', 'NN'), (u'bird', 'NN')]","[(u'toucan', 'NN'), (u'sam', 'NN'), (u'lookalike', 'NN')]",3,3,3,3,0.8125,0.869565217,0.813953488,0.87804878,0.804878049,0.875
209,R_1pVu6bx2JrPBRAO,1/15/16 15:50,1/15/16 15:52,1.92,10.116,11.677,3,shape,shape,1.475,4.889,6.344,3,size,size,,27,1,1,,FL_72|FL_97|FL_71|FL_90|FL_73|FL_94|FL_74|FL_91,FL_L4,FL_L81,FL_L62,FL_L89,FL_L69,FL_L92,FL_L70,FL_L95,time3.1Sh_1.2.,1.615,3,1Sh,2,1.615,9.958,1,even,odd,shape,surface,1,3_1Sh,odd,even,1,1,[u'odd'],[u'even'],"[(u'odd', 'JJ')]","[(u'even', 'RB')]","[(u'odd', 'JJ')]","[(u'even', 'RB')]","[(u'odd', 'JJ')]","[(u'even', 'RB')]",1,1,1,1,0.8125,0.869565217,0.813953488,0.87804878,0.804878049,0.875
