,ResponseID,StartDate,EndDate,timeP1_1,timeP1_2,timeP1_3,timeP1_4,LeftP1,RightP2,timeP2_1,timeP2_2,timeP2_3,timeP2_4,LeftP2,RightP2.1,time2.1Sh.2.,Age,Sex,Lang,Lang_TEXT,DO.BR.FL_65,DO.BR.FL_71,DO.BR.FL_90,DO.BR.FL_72,DO.BR.FL_91,DO.BR.FL_73,DO.BR.FL_94,DO.BR.FL_74,DO.BR.FL_97,trialCode,time_1,species,trialKind,stimOrder,time_2,time_3,time_4,leftResponse,rightResponse,ComparisonType,SharedType,SharedTypeNum,trial,ResponseOne,ResponseTwo,wordLenRespOne,wordLenRespTwo,wordsRespOne,wordsRespTwo,taggedWordsRespOne,taggedWordsRespTwo,contentWordsRespOne,contentWordsRespTwo,contentWordsRespOneNoBe,contentWordsRespTwoNoBe,contentWordLenRespOne,contentWordLenRespTwo,contentWordLenRespOneNoBe,contentWordLenRespTwoNoBe,uniqueWordPercOne,uniqueWordPercTwo,uniqueContentWordPercOne,uniqueContentWordPercTwo,uniqueContentWordNoBePercOne,uniqueContentWordNoBePercTwo
0,R_2thTIpF3wYArBgJ,1/15/16 15:17,1/15/16 15:23,2.076,22.405,28.447,2,circle,triangle,1.593,1.593,8.028,1,long line,short line,,37,2,1,,FL_72|FL_90|FL_71|FL_74|FL_73|FL_94|FL_91|FL_97,FL_L4,FL_L78,FL_L62,FL_L88,FL_L69,FL_L93,FL_L70,FL_L96,time1.1Su_1.1.,2.7,1,1Su,1,2.7,16.391,1,smother lines,jagged lines,surface,shape,1,1_1Su,smother lines,jagged lines,2,2,"[u'smother', u'lines']","[u'jagged', u'lines']","[(u'smother', 'PRP$'), (u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]","[(u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]","[(u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]",1,2,1,2,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
1,R_1jVSUb5xOFV66uP,1/15/16 15:26,1/15/16 15:29,0.841,0.841,11.903,1,It's a circle.,It's a triangle.,0.831,11.881,16.38,2,Longer line.,Shorter line.,1,28,2,1,,FL_94|FL_72|FL_73|FL_71|FL_74|FL_90|FL_97|FL_91,FL_L4,FL_L78,FL_L68,FL_L88,FL_L63,FL_L93,FL_L70,FL_L95,time1.1Su_1.1.,0.551,1,1Su,1,0.551,7.741,1,Smooth lines.,Jagged lines.,surface,shape,1,1_1Su,Smooth lines.,Jagged lines.,2,2,"[u'Smooth', u'lines.']","[u'Jagged', u'lines.']","[(u'Smooth', 'NNP'), (u'lines', 'NNS'), (u'.', '.')]","[(u'Jagged', 'JJ'), (u'lines', 'NNS'), (u'.', '.')]","[(u'Smooth', 'NNP'), (u'lines', 'NNS')]","[(u'Jagged', 'JJ'), (u'lines', 'NNS')]","[(u'Smooth', 'NNP'), (u'lines', 'NNS')]","[(u'Jagged', 'JJ'), (u'lines', 'NNS')]",2,2,2,2,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
2,R_1jVxibCBgYDGMhZ,1/15/16 15:25,1/15/16 15:29,1.396,1.396,11.197,1,circle,triangle,1.435,1.723,5.649,2,long line,short line,1,36,1,1,,FL_71|FL_74|FL_90|FL_94|FL_72|FL_73|FL_91|FL_97,FL_L4,FL_L81,FL_L62,FL_L88,FL_L63,FL_L93,FL_L64,FL_L96,time1.1Su_1.1.,1.116,1,1Su,1,1.116,8.947,1,smooth lines,jagged lines,surface,shape,1,1_1Su,smooth lines,jagged lines,2,2,"[u'smooth', u'lines']","[u'jagged', u'lines']","[(u'smooth', 'NN'), (u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]","[(u'smooth', 'NN'), (u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]","[(u'smooth', 'NN'), (u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]",2,2,2,2,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
3,R_1rDhoNLqc2XfuKX,1/15/16 15:35,1/15/16 15:40,4.436,4.436,22.349,1,is round and does not have corner,has straight lines and angles,2.611,2.611,12.42,1,the line is longer,the line is shorter,,26,2,1,,FL_97|FL_71|FL_90|FL_73|FL_91|FL_74|FL_94|FL_72,FL_L4,FL_L78,FL_L68,FL_L89,FL_L69,FL_L93,FL_L64,FL_L95,time1.1Su_1.1.,4.855,1,1Su,1,18.694,49.159,2,the image has a more flowy feeling because of its roundness,the lines on this image are sharp and constantly changing,surface,shape,1,1_1Su,the image has a more flowy feeling because of its roundness,the lines on this image are sharp and constantly changing,11,10,"[u'the', u'image', u'has', u'a', u'more', u'flowy', u'feeling', u'because', u'of', u'its', u'roundness']","[u'the', u'lines', u'on', u'this', u'image', u'are', u'sharp', u'and', u'constantly', u'changing']","[(u'the', 'DT'), (u'image', 'NN'), (u'has', 'VBZ'), (u'a', 'DT'), (u'more', 'RBR'), (u'flowy', 'JJ'), (u'feeling', 'NN'), (u'because', 'IN'), (u'of', 'IN'), (u'its', 'PRP$'), (u'roundness', 'NN')]","[(u'the', 'DT'), (u'lines', 'NNS'), (u'on', 'IN'), (u'this', 'DT'), (u'image', 'NN'), (u'are', 'VBP'), (u'sharp', 'JJ'), (u'and', 'CC'), (u'constantly', 'RB'), (u'changing', 'VBG')]","[(u'image', 'NN'), (u'has', 'VBZ'), (u'more', 'RBR'), (u'flowy', 'JJ'), (u'feeling', 'NN'), (u'roundness', 'NN')]","[(u'lines', 'NNS'), (u'image', 'NN'), (u'are', 'VBP'), (u'sharp', 'JJ'), (u'constantly', 'RB'), (u'changing', 'VBG')]","[(u'image', 'NN'), (u'has', 'VBZ'), (u'more', 'RBR'), (u'flowy', 'JJ'), (u'feeling', 'NN'), (u'roundness', 'NN')]","[(u'lines', 'NNS'), (u'image', 'NN'), (u'sharp', 'JJ'), (u'constantly', 'RB'), (u'changing', 'VBG')]",6,6,6,5,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
4,R_1pVu6bx2JrPBRAO,1/15/16 15:50,1/15/16 15:52,1.92,10.116,11.677,3,shape,shape,1.475,4.889,6.344,3,size,size,,27,1,1,,FL_72|FL_97|FL_71|FL_90|FL_73|FL_94|FL_74|FL_91,FL_L4,FL_L81,FL_L62,FL_L89,FL_L69,FL_L92,FL_L70,FL_L95,time1.1Su_1.1.,1.817,1,1Su,1,8.349,11.652,3,smooth,ridden ,surface,shape,1,1_1Su,smooth,ridden ,1,1,[u'smooth'],[u'ridden'],"[(u'smooth', 'NN')]","[(u'ridden', 'NN')]","[(u'smooth', 'NN')]","[(u'ridden', 'NN')]","[(u'smooth', 'NN')]","[(u'ridden', 'NN')]",1,1,1,1,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
5,R_1M0ViAylw7qjeF1,1/15/16 15:50,1/15/16 15:53,7.559,7.559,15.536,1,it has a circle,it has a triangle,2.584,2.584,9.09,1,the line is longer,the line is shorter,,35,1,1,,FL_97|FL_73|FL_91|FL_94|FL_90|FL_72|FL_74|FL_71,FL_L4,FL_L78,FL_L62,FL_L89,FL_L63,FL_L93,FL_L70,FL_L96,time1.1Su_1.1.,1.68,1,1Su,1,1.68,7.016,1,smooth,bumpy,surface,shape,1,1_1Su,smooth,bumpy,1,1,[u'smooth'],[u'bumpy'],"[(u'smooth', 'NN')]","[(u'bumpy', 'NN')]","[(u'smooth', 'NN')]","[(u'bumpy', 'NN')]","[(u'smooth', 'NN')]","[(u'bumpy', 'NN')]",1,1,1,1,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
6,R_9uAA61ginZnhUXv,1/15/16 15:50,1/15/16 15:54,3.055,3.055,23.821,1,is a circle,isa a triangle ,2.357,2.357,10.928,1,is longer,is shorter,,37,2,1,,FL_94|FL_74|FL_73|FL_97|FL_72|FL_91|FL_90|FL_71,FL_L4,FL_L78,FL_L68,FL_L89,FL_L63,FL_L92,FL_L70,FL_L95,time1.1Su_1.1.,5.284,1,1Su,1,5.284,17.923,1,smooth lines,jagged lines,surface,shape,1,1_1Su,smooth lines,jagged lines,2,2,"[u'smooth', u'lines']","[u'jagged', u'lines']","[(u'smooth', 'NN'), (u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]","[(u'smooth', 'NN'), (u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]","[(u'smooth', 'NN'), (u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]",2,2,2,2,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
7,R_3MboPI9w4G1BcTx,1/15/16 15:50,1/15/16 15:55,13.185,23.71,29.637,2,Cicular,Triangular,5.459,8.702,12.978,2,Longer,Shorter,1,28,1,1,,FL_91|FL_94|FL_90|FL_72|FL_74|FL_73|FL_71|FL_97,FL_L4,FL_L78,FL_L68,FL_L88,FL_L63,FL_L93,FL_L64,FL_L95,time1.1Su_1.1.,13.161,1,1Su,1,17.715,20.118,3,Sharp,Rough,surface,shape,1,1_1Su,Sharp,Rough,1,1,[u'Sharp'],[u'Rough'],"[(u'Sharp', 'NNP')]","[(u'Rough', 'IN')]","[(u'Sharp', 'NNP')]",[],"[(u'Sharp', 'NNP')]",[],1,0,1,0,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
8,R_3iUVoARY38x5Rn3,1/15/16 15:52,1/15/16 15:56,4.513,4.513,20.16,1,circle in a square,triangle in a square,4.893,4.893,11.934,1,long line,short line,,30,2,1,,FL_90|FL_74|FL_73|FL_72|FL_71|FL_97|FL_94|FL_91,FL_L4,FL_L78,FL_L68,FL_L88,FL_L69,FL_L92,FL_L70,FL_L96,time1.1Su_1.1.,5.184,1,1Su,1,5.184,13.255,1,smooth edges,jagged edges,surface,shape,1,1_1Su,smooth edges,jagged edges,2,2,"[u'smooth', u'edges']","[u'jagged', u'edges']","[(u'smooth', 'NN'), (u'edges', 'NNS')]","[(u'jagged', 'VBD'), (u'edges', 'NNS')]","[(u'smooth', 'NN'), (u'edges', 'NNS')]","[(u'jagged', 'VBD'), (u'edges', 'NNS')]","[(u'smooth', 'NN'), (u'edges', 'NNS')]","[(u'jagged', 'VBD'), (u'edges', 'NNS')]",2,2,2,2,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
9,R_3G9hgZUwjBYhACv,1/15/16 15:54,1/15/16 15:56,1.534,1.534,7.655,1,circle,triangle,2.105,2.105,9.111,1,longer line,shorter line,1,40,2,1,,FL_97|FL_74|FL_90|FL_73|FL_91|FL_72|FL_94|FL_71,FL_L4,FL_L81,FL_L62,FL_L88,FL_L63,FL_L93,FL_L64,FL_L96,time1.1Su_1.1.,1.588,1,1Su,1,1.588,16.119,1,more smooth,more bumpy,surface,shape,1,1_1Su,more smooth,more bumpy,2,2,"[u'more', u'smooth']","[u'more', u'bumpy']","[(u'more', 'JJR'), (u'smooth', 'IN')]","[(u'more', 'JJR'), (u'bumpy', 'NN')]","[(u'more', 'JJR')]","[(u'more', 'JJR'), (u'bumpy', 'NN')]","[(u'more', 'JJR')]","[(u'more', 'JJR'), (u'bumpy', 'NN')]",1,2,1,2,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
10,R_3qyOB1D3RvN8L4W,1/15/16 15:53,1/15/16 15:57,2.348,2.348,10.583,1,circle,triangle,2.221,2.221,12.214,1,longer line,short distance line,1,33,1,1,,FL_71|FL_97|FL_94|FL_91|FL_73|FL_90|FL_72|FL_74,FL_L4,FL_L78,FL_L68,FL_L88,FL_L63,FL_L93,FL_L70,FL_L96,time1.1Su_1.1.,3.263,1,1Su,1,25.248,25.98,2,looks more clean and clear,looks jagged but not so neat,surface,shape,1,1_1Su,looks more clean and clear,looks jagged but not so neat,5,6,"[u'looks', u'more', u'clean', u'and', u'clear']","[u'looks', u'jagged', u'but', u'not', u'so', u'neat']","[(u'looks', 'NNS'), (u'more', 'JJR'), (u'clean', 'JJ'), (u'and', 'CC'), (u'clear', 'JJ')]","[(u'looks', 'NNS'), (u'jagged', 'VBD'), (u'but', 'CC'), (u'not', 'RB'), (u'so', 'RB'), (u'neat', 'RB')]","[(u'looks', 'NNS'), (u'more', 'JJR'), (u'clean', 'JJ'), (u'clear', 'JJ')]","[(u'looks', 'NNS'), (u'jagged', 'VBD'), (u'not', 'RB'), (u'so', 'RB'), (u'neat', 'RB')]","[(u'looks', 'NNS'), (u'more', 'JJR'), (u'clean', 'JJ'), (u'clear', 'JJ')]","[(u'looks', 'NNS'), (u'jagged', 'VBD'), (u'not', 'RB'), (u'so', 'RB'), (u'neat', 'RB')]",4,5,4,5,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
11,R_1FKVGqPxtIE4pdF,1/15/16 15:53,1/15/16 15:58,1.46,1.82,9.317,2,circle,triangle,1.611,1.611,9.266,1,long line,short line,,43,2,1,,FL_72|FL_97|FL_94|FL_91|FL_90|FL_74|FL_71|FL_73,FL_L4,FL_L78,FL_L62,FL_L89,FL_L69,FL_L92,FL_L64,FL_L95,time1.1Su_1.1.,2.099,1,1Su,1,2.099,10.151,1,smooth lines,jagged lines,surface,shape,1,1_1Su,smooth lines,jagged lines,2,2,"[u'smooth', u'lines']","[u'jagged', u'lines']","[(u'smooth', 'NN'), (u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]","[(u'smooth', 'NN'), (u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]","[(u'smooth', 'NN'), (u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]",2,2,2,2,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
12,R_uvHVTlMiI3QmmMF,1/15/16 15:52,1/15/16 15:58,3.957,3.957,24.545,1,no sides at all,has three sides,3.451,3.451,27.601,1,left line is longer,right line is shorter,,28,1,1,,FL_72|FL_90|FL_71|FL_94|FL_97|FL_73|FL_74|FL_91,FL_L4,FL_L81,FL_L62,FL_L88,FL_L69,FL_L92,FL_L70,FL_L95,time1.1Su_1.1.,5.233,1,1Su,1,5.233,33.844,1,more curve lines,more zigzag kind of lines,surface,shape,1,1_1Su,more curve lines,more zigzag kind of lines,3,5,"[u'more', u'curve', u'lines']","[u'more', u'zigzag', u'kind', u'of', u'lines']","[(u'more', 'JJR'), (u'curve', 'VBP'), (u'lines', 'NNS')]","[(u'more', 'JJR'), (u'zigzag', 'NN'), (u'kind', 'NN'), (u'of', 'IN'), (u'lines', 'NNS')]","[(u'more', 'JJR'), (u'curve', 'VBP'), (u'lines', 'NNS')]","[(u'more', 'JJR'), (u'zigzag', 'NN'), (u'kind', 'NN'), (u'lines', 'NNS')]","[(u'more', 'JJR'), (u'curve', 'VBP'), (u'lines', 'NNS')]","[(u'more', 'JJR'), (u'zigzag', 'NN'), (u'kind', 'NN'), (u'lines', 'NNS')]",3,4,3,4,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
13,R_1gGfj8O5oKBnrJS,1/15/16 15:52,1/15/16 15:59,10.981,10.981,18.063,1,square,triangle,2.293,2.293,7.137,1,long line,short line,,27,1,1,,FL_91|FL_72|FL_90|FL_73|FL_94|FL_97|FL_74|FL_71,FL_L4,FL_L78,FL_L62,FL_L89,FL_L63,FL_L93,FL_L64,FL_L96,time1.1Su_1.1.,1.971,1,1Su,1,1.971,26.388,1,firm,zigzag,surface,shape,1,1_1Su,firm,zigzag,1,1,[u'firm'],[u'zigzag'],"[(u'firm', 'NN')]","[(u'zigzag', 'NN')]","[(u'firm', 'NN')]","[(u'zigzag', 'NN')]","[(u'firm', 'NN')]","[(u'zigzag', 'NN')]",1,1,1,1,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
14,R_1jIBn6zMyh15Xqd,1/15/16 15:53,1/15/16 16:04,14.35,103.344,118.01,5,the left image is a circle.,the right image is a triangle.,12.154,42.048,68.898,2,the left image is a longer line.,the right image is a shorter line.,,21,2,1,,FL_72|FL_73|FL_94|FL_97|FL_91|FL_74|FL_90|FL_71,FL_L4,FL_L78,FL_L68,FL_L89,FL_L69,FL_L93,FL_L70,FL_L96,time1.1Su_1.1.,8.031,1,1Su,1,14.925,27.234,2,pointy,ridged,surface,shape,1,1_1Su,pointy,ridged,1,1,[u'pointy'],[u'ridged'],"[(u'pointy', 'NN')]","[(u'ridged', 'VBD')]","[(u'pointy', 'NN')]","[(u'ridged', 'VBD')]","[(u'pointy', 'NN')]","[(u'ridged', 'VBD')]",1,1,1,1,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
15,R_1dfUh65ZYl0wNoO,1/15/16 16:37,1/15/16 16:43,4.547,4.547,27.715,1,Is a circle,Is a triangle,1.635,1.635,15.882,1,The line is longer,The line is shorter,,30,1,1,,FL_73|FL_74|FL_71|FL_72|FL_97|FL_94|FL_91|FL_90,FL_L4,FL_L81,FL_L68,FL_L89,FL_L63,FL_L93,FL_L64,FL_L95,time1.1Su_1.1.,1.295,1,1Su,1,1.295,24.087,1,edges are pointy ,edges are jagged,surface,shape,1,1_1Su,edges are pointy ,edges are jagged,3,3,"[u'edges', u'are', u'pointy']","[u'edges', u'are', u'jagged']","[(u'edges', 'NNS'), (u'are', 'VBP'), (u'pointy', 'JJ')]","[(u'edges', 'NNS'), (u'are', 'VBP'), (u'jagged', 'VBN')]","[(u'edges', 'NNS'), (u'are', 'VBP'), (u'pointy', 'JJ')]","[(u'edges', 'NNS'), (u'are', 'VBP'), (u'jagged', 'VBN')]","[(u'edges', 'NNS'), (u'pointy', 'JJ')]","[(u'edges', 'NNS'), (u'jagged', 'VBN')]",3,3,2,2,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
16,R_PuIRuqhDuUOUpvb,1/15/16 15:21,1/15/16 15:28,1.308,13.052,14.054,3,circle,triangle,1.875,9.661,10.85,3,long line,short line,,20,1,1,,FL_91|FL_72|FL_71|FL_97|FL_74|FL_73|FL_94|FL_90,FL_L4,FL_L78,FL_L68,FL_L89,FL_L69,FL_L93,FL_L70,FL_L96,time1.1Su_1.2.,2.436,1,1Su,2,116.039,126.871,12,Shaky drawing,Talented drawing,surface,shape,1,1_1Su,Talented drawing,Shaky drawing,2,2,"[u'Talented', u'drawing']","[u'Shaky', u'drawing']","[(u'Talented', 'NNP'), (u'drawing', 'NN')]","[(u'Shaky', 'NNP'), (u'drawing', 'NN')]","[(u'Talented', 'NNP'), (u'drawing', 'NN')]","[(u'Shaky', 'NNP'), (u'drawing', 'NN')]","[(u'Talented', 'NNP'), (u'drawing', 'NN')]","[(u'Shaky', 'NNP'), (u'drawing', 'NN')]",2,2,2,2,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
17,R_27s4JkihOkiTFix,1/15/16 15:53,1/15/16 15:56,2.693,2.693,7.695,1,Circle,Triangle,2.026,2.026,8.586,1,Long line, Short line,1,25,2,1,,FL_72|FL_71|FL_74|FL_97|FL_94|FL_91|FL_73|FL_90,FL_L4,FL_L81,FL_L68,FL_L88,FL_L69,FL_L92,FL_L70,FL_L95,time1.1Su_1.2.,1.21,1,1Su,2,1.986,10.008,2,has more curved lines,has more defined lines,surface,shape,1,1_1Su,has more defined lines,has more curved lines,4,4,"[u'has', u'more', u'defined', u'lines']","[u'has', u'more', u'curved', u'lines']","[(u'has', 'VBZ'), (u'more', 'JJR'), (u'defined', 'VBN'), (u'lines', 'NNS')]","[(u'has', 'VBZ'), (u'more', 'JJR'), (u'curved', 'VBN'), (u'lines', 'NNS')]","[(u'has', 'VBZ'), (u'more', 'JJR'), (u'defined', 'VBN'), (u'lines', 'NNS')]","[(u'has', 'VBZ'), (u'more', 'JJR'), (u'curved', 'VBN'), (u'lines', 'NNS')]","[(u'has', 'VBZ'), (u'more', 'JJR'), (u'defined', 'VBN'), (u'lines', 'NNS')]","[(u'has', 'VBZ'), (u'more', 'JJR'), (u'curved', 'VBN'), (u'lines', 'NNS')]",4,4,4,4,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
18,R_3n2XgpWlbE5MbDx,1/15/16 15:53,1/15/16 15:59,6.017,15.044,28.958,2,"Round, no edges","Triangle, 3 sides, 3 angles",6.732,14.783,15.42,3,Long line,short line,,27,2,1,,FL_72|FL_91|FL_97|FL_71|FL_90|FL_94|FL_74|FL_73,FL_L4,FL_L81,FL_L68,FL_L89,FL_L63,FL_L92,FL_L64,FL_L95,time1.1Su_1.2.,3.084,1,1Su,2,11.253,24.758,2,jagged outline,somewhat smooth outline,surface,shape,1,1_1Su,somewhat smooth outline,jagged outline,3,2,"[u'somewhat', u'smooth', u'outline']","[u'jagged', u'outline']","[(u'somewhat', 'RB'), (u'smooth', 'VBP'), (u'outline', 'NN')]","[(u'jagged', 'VBD'), (u'outline', 'NN')]","[(u'somewhat', 'RB'), (u'smooth', 'VBP'), (u'outline', 'NN')]","[(u'jagged', 'VBD'), (u'outline', 'NN')]","[(u'somewhat', 'RB'), (u'smooth', 'VBP'), (u'outline', 'NN')]","[(u'jagged', 'VBD'), (u'outline', 'NN')]",3,2,3,2,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
19,R_2f2JAnFgFN58l8p,1/15/16 15:59,1/15/16 16:01,1.525,1.525,5.993,1,circle,triangle,1.26,1.26,4.244,1,long,short,,25,1,1,,FL_74|FL_71|FL_91|FL_97|FL_73|FL_90|FL_72|FL_94,FL_L4,FL_L81,FL_L62,FL_L88,FL_L63,FL_L92,FL_L70,FL_L95,time1.1Su_1.2.,1.395,1,1Su,2,1.923,6.934,3,rough,sharp,surface,shape,1,1_1Su,sharp,rough,1,1,[u'sharp'],[u'rough'],"[(u'sharp', 'JJ')]","[(u'rough', 'IN')]","[(u'sharp', 'JJ')]",[],"[(u'sharp', 'JJ')]",[],1,0,1,0,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
20,R_9p1vpKtLWhvSGLD,1/15/16 15:22,1/15/16 15:27,4.301,9.605,13.926,2,its a circle,its a triangle,2.553,2.553,14.743,1,this line is longer,this line i sshorter,,21,1,1,,FL_97|FL_72|FL_71|FL_94|FL_74|FL_73|FL_91|FL_90,FL_L86,FL_L81,FL_L62,FL_L89,FL_L69,FL_L92,FL_L64,FL_L96,time1.2Su_1.1.,1.867,1,2Su,1,17.952,22.956,3,smoother edges,more jagged edges,surface,shape,2,1_2Su,smoother edges,more jagged edges,2,3,"[u'smoother', u'edges']","[u'more', u'jagged', u'edges']","[(u'smoother', 'PRP$'), (u'edges', 'NNS')]","[(u'more', 'JJR'), (u'jagged', 'VBD'), (u'edges', 'NNS')]","[(u'edges', 'NNS')]","[(u'more', 'JJR'), (u'jagged', 'VBD'), (u'edges', 'NNS')]","[(u'edges', 'NNS')]","[(u'more', 'JJR'), (u'jagged', 'VBD'), (u'edges', 'NNS')]",1,3,1,3,0.714285714,0.666666667,0.75,0.681818182,0.756097561,0.682926829
21,R_1f3ijP6IPsrwVQ0,1/15/16 15:52,1/15/16 15:57,5.714,5.714,22.087,1,its a circle,its a triangle,4.06,12.475,21.762,2,the middle line is longer,the middle line is shorter,,30,2,1,,FL_72|FL_91|FL_71|FL_74|FL_73|FL_90|FL_97|FL_94,FL_L86,FL_L78,FL_L68,FL_L89,FL_L69,FL_L92,FL_L70,FL_L95,time1.2Su_1.1.,3.969,1,2Su,1,3.969,22.665,1,more bending lines,more jagged lines,surface,shape,2,1_2Su,more bending lines,more jagged lines,3,3,"[u'more', u'bending', u'lines']","[u'more', u'jagged', u'lines']","[(u'more', 'JJR'), (u'bending', 'VBG'), (u'lines', 'NNS')]","[(u'more', 'JJR'), (u'jagged', 'VBD'), (u'lines', 'NNS')]","[(u'more', 'JJR'), (u'bending', 'VBG'), (u'lines', 'NNS')]","[(u'more', 'JJR'), (u'jagged', 'VBD'), (u'lines', 'NNS')]","[(u'more', 'JJR'), (u'bending', 'VBG'), (u'lines', 'NNS')]","[(u'more', 'JJR'), (u'jagged', 'VBD'), (u'lines', 'NNS')]",3,3,3,3,0.714285714,0.666666667,0.75,0.681818182,0.756097561,0.682926829
22,R_bNk5U3Jc4s2Gorn,1/15/16 15:52,1/15/16 15:57,1.97,18.937,19.584,3,has no edges,has straight lines,1.838,31.327,32.006,2,line is long,line is short,,27,2,2,vietnamese,FL_74|FL_73|FL_72|FL_94|FL_71|FL_97|FL_90|FL_91,FL_L86,FL_L81,FL_L62,FL_L89,FL_L69,FL_L93,FL_L70,FL_L96,time1.2Su_1.1.,1.564,1,2Su,1,33.372,43.333,4,looks more smooth,lines are noisy,surface,shape,2,1_2Su,looks more smooth,lines are noisy,3,3,"[u'looks', u'more', u'smooth']","[u'lines', u'are', u'noisy']","[(u'looks', 'NNS'), (u'more', 'JJR'), (u'smooth', 'JJ')]","[(u'lines', 'NNS'), (u'are', 'VBP'), (u'noisy', 'JJ')]","[(u'looks', 'NNS'), (u'more', 'JJR'), (u'smooth', 'JJ')]","[(u'lines', 'NNS'), (u'are', 'VBP'), (u'noisy', 'JJ')]","[(u'looks', 'NNS'), (u'more', 'JJR'), (u'smooth', 'JJ')]","[(u'lines', 'NNS'), (u'noisy', 'JJ')]",3,3,3,2,0.714285714,0.666666667,0.75,0.681818182,0.756097561,0.682926829
23,R_1FrHiXUTdfOkgcK,1/15/16 15:50,1/15/16 15:59,7.473,52.345,53.616,8,soft bent line,"rigid, straight line",7.995,33.334,34.632,4,long line,short line,1,47,2,1,,FL_71|FL_97|FL_91|FL_94|FL_73|FL_74|FL_90|FL_72,FL_L86,FL_L81,FL_L68,FL_L88,FL_L69,FL_L92,FL_L70,FL_L95,time1.2Su_1.1.,4.529,1,2Su,1,28.962,30.312,4,smooth line,rough line,surface,shape,2,1_2Su,smooth line,rough line,2,2,"[u'smooth', u'line']","[u'rough', u'line']","[(u'smooth', 'NN'), (u'line', 'NN')]","[(u'rough', 'IN'), (u'line', 'NN')]","[(u'smooth', 'NN'), (u'line', 'NN')]","[(u'line', 'NN')]","[(u'smooth', 'NN'), (u'line', 'NN')]","[(u'line', 'NN')]",2,1,2,1,0.714285714,0.666666667,0.75,0.681818182,0.756097561,0.682926829
24,R_3oGwlvMwRJfLkLL,1/15/16 15:53,1/15/16 15:59,9.586,9.586,19.293,1,circle,triangle,2.088,2.088,11.196,1,long line,short line,,55,1,1,,FL_97|FL_74|FL_71|FL_90|FL_91|FL_72|FL_73|FL_94,FL_L86,FL_L81,FL_L62,FL_L89,FL_L63,FL_L92,FL_L70,FL_L95,time1.2Su_1.1.,1.45,1,2Su,1,1.45,23.693,1,smooth outline,jagged outline,surface,shape,2,1_2Su,smooth outline,jagged outline,2,2,"[u'smooth', u'outline']","[u'jagged', u'outline']","[(u'smooth', 'NN'), (u'outline', 'NN')]","[(u'jagged', 'VBD'), (u'outline', 'NN')]","[(u'smooth', 'NN'), (u'outline', 'NN')]","[(u'jagged', 'VBD'), (u'outline', 'NN')]","[(u'smooth', 'NN'), (u'outline', 'NN')]","[(u'jagged', 'VBD'), (u'outline', 'NN')]",2,2,2,2,0.714285714,0.666666667,0.75,0.681818182,0.756097561,0.682926829
