ResponseID,StartDate,EndDate,Finished,Example,Strategy,Age,Sex,Lang,Lang_TEXT,Education,DO.BR.FL_3,DO.BL.Test1,DO.BL.Test2,DO.BL.Test3,DO.BL.Test4,trialID,response,test,promptStim,surfaceStim,shapeStim,targetLocation,surface,shape,species,surfaceMatchDirection,trialNumber,isShape,isSurface,surfaceMatch,surfaceMatchRev,surfaceMatchContentW,surfaceMatchContentWRev,surfaceMatchContentWBe,surfaceMatchContentWBeRev,shapeMatch,shapeMatchRev,shapeMatchContentW,shapeMatchContentWRev,shapeMatchContentWBe,shapeMatchContentWBeRev,surfaceToShapeName,surfaceToShapeNameContent,surfaceToShapeNameContentBe,matchNameability,matchNameabilityContentW,matchNameabilityContentWBe,surfaceMatchRevZ,shapeMatchRevZ,surfaceMatchContentWRevZ,shapeMatchContentWRevZ,surfaceMatchContentWBeRevZ,shapeMatchContentWBeRevZ,matchNameabilityZ,matchNameabilityContentWZ,matchNameabilityContentWBeZ,surfaceMatchInd,surfaceMatchIndRev,surfaceMatchIndCW,surfaceMatchIndCWRev,surfaceMatchIndCWB,surfaceMatchIndCWBRev,shapeMatchInd,shapeMatchIndRev,shapeMatchIndCW,shapeMatchIndCWRev,shapeMatchIndCWB,shapeMatchIndCWBRev,surfaceMatchIndRevZ,shapeMatchIndRevZ,surfaceMatchIndCWRevZ,shapeMatchIndCWRevZ,surfaceMatchIndCWBRevZ,shapeMatchIndCWBRevZ,matchNameabilityIndZ,matchNameabilityIndCWZ,matchNameabilityIndCWBZ,surfaceToShapeNameIndZ,surfaceMatchIndLen,surfaceMatchIndLenCW,surfaceMatchIndLenCWB,shapeMatchIndLen,shapeMatchIndLenCW,shapeMatchIndLenCWB,surfaceToShapeMatchIndLen,surfaceToShapeMatchIndLenCW,surfaceToShapeMatchIndLenCWB
R_3KHHm5DnIkKWRhf,1/13/16 14:34,1/13/16 14:35,1,1,I LOOKED AT THE SHAPE AND LINES,53,2,1,,4,Test1|Test2|Test3|Test4,1/1/01,2/2/02,3/1/02,4/2/02,X1.1.1,2,Test1,1.1.1,1.2.1,1.1.2,right,1,1,1,1to2,1,0,1,0.631033183,0.368966817,0.598044397,0.401955603,0.595238095,0.404761905,0.735087719,0.264912281,0.708710407,0.291289593,0.702941176,0.297058824,1.392788649,1.379917486,1.362564828,0.316939549,0.346622598,0.350910364,1.489426251,0.534648612,2.029433802,0.980088602,1.993173616,0.967224474,1.012037432,1.504761202,1.480199045,0.62745098,0.37254902,0.627906977,0.372093023,0.619047619,0.380952381,0.733333333,0.266666667,0.711538462,0.288461538,0.705882353,0.294117647,1.00139128,0.555802703,1.219739618,0.919555424,1.227717143,0.897700888,0.778596992,1.069647521,1.062709016,0.445588577,2.55,2.15,2.1,2.727272727,2.363636364,2.318181818,0.935,0.909615385,0.905882353
R_3emDMgxGhoOTzce,1/13/16 14:35,1/13/16 14:36,1,1,The images that looked a lot more similar in terms of shapes were chosen.,28,1,1,,4,Test2|Test1|Test4|Test3,1/1/01,2/1/01,3/2/02,4/1/02,X1.1.1,1,Test1,1.1.1,1.2.1,1.1.2,left,1,1,1,1to2,2,1,0,0.631033183,0.368966817,0.598044397,0.401955603,0.595238095,0.404761905,0.735087719,0.264912281,0.708710407,0.291289593,0.702941176,0.297058824,1.392788649,1.379917486,1.362564828,0.316939549,0.346622598,0.350910364,1.489426251,0.534648612,2.029433802,0.980088602,1.993173616,0.967224474,1.012037432,1.504761202,1.480199045,0.62745098,0.37254902,0.627906977,0.372093023,0.619047619,0.380952381,0.733333333,0.266666667,0.711538462,0.288461538,0.705882353,0.294117647,1.00139128,0.555802703,1.219739618,0.919555424,1.227717143,0.897700888,0.778596992,1.069647521,1.062709016,0.445588577,2.55,2.15,2.1,2.727272727,2.363636364,2.318181818,0.935,0.909615385,0.905882353
R_UEMKeCSGsbVEw3D,1/13/16 14:37,1/13/16 14:38,1,1,The outside shape of the figures,21,1,1,,3,Test4|Test1|Test2|Test3,1/1/01,2/2/01,3/1/01,4/2/02,X1.1.1,2,Test1,1.1.1,1.2.1,1.1.2,right,1,1,1,1to2,2,0,1,0.631033183,0.368966817,0.598044397,0.401955603,0.595238095,0.404761905,0.735087719,0.264912281,0.708710407,0.291289593,0.702941176,0.297058824,1.392788649,1.379917486,1.362564828,0.316939549,0.346622598,0.350910364,1.489426251,0.534648612,2.029433802,0.980088602,1.993173616,0.967224474,1.012037432,1.504761202,1.480199045,0.62745098,0.37254902,0.627906977,0.372093023,0.619047619,0.380952381,0.733333333,0.266666667,0.711538462,0.288461538,0.705882353,0.294117647,1.00139128,0.555802703,1.219739618,0.919555424,1.227717143,0.897700888,0.778596992,1.069647521,1.062709016,0.445588577,2.55,2.15,2.1,2.727272727,2.363636364,2.318181818,0.935,0.909615385,0.905882353
R_2WD0nXHMpNJnjaW,1/13/16 14:48,1/13/16 14:49,1,1,I chose the one that looked closest to the other,27,1,1,,2,Test4|Test1|Test2|Test3,1/1/01,2/1/01,3/2/01,4/1/02,X1.1.1,2,Test1,1.1.1,1.2.1,1.1.2,right,1,1,1,1to2,2,0,1,0.631033183,0.368966817,0.598044397,0.401955603,0.595238095,0.404761905,0.735087719,0.264912281,0.708710407,0.291289593,0.702941176,0.297058824,1.392788649,1.379917486,1.362564828,0.316939549,0.346622598,0.350910364,1.489426251,0.534648612,2.029433802,0.980088602,1.993173616,0.967224474,1.012037432,1.504761202,1.480199045,0.62745098,0.37254902,0.627906977,0.372093023,0.619047619,0.380952381,0.733333333,0.266666667,0.711538462,0.288461538,0.705882353,0.294117647,1.00139128,0.555802703,1.219739618,0.919555424,1.227717143,0.897700888,0.778596992,1.069647521,1.062709016,0.445588577,2.55,2.15,2.1,2.727272727,2.363636364,2.318181818,0.935,0.909615385,0.905882353
R_3HOnCgefTq4tCyM,1/13/16 14:51,1/13/16 14:51,1,1,based on feel,30,1,1,,3,Test1|Test2|Test3|Test4,1/1/01,2/2/01,3/2/02,4/2/02,X1.1.1,2,Test1,1.1.1,1.2.1,1.1.2,left,1,1,1,1to2,1,0,1,0.631033183,0.368966817,0.598044397,0.401955603,0.595238095,0.404761905,0.735087719,0.264912281,0.708710407,0.291289593,0.702941176,0.297058824,1.392788649,1.379917486,1.362564828,0.316939549,0.346622598,0.350910364,1.489426251,0.534648612,2.029433802,0.980088602,1.993173616,0.967224474,1.012037432,1.504761202,1.480199045,0.62745098,0.37254902,0.627906977,0.372093023,0.619047619,0.380952381,0.733333333,0.266666667,0.711538462,0.288461538,0.705882353,0.294117647,1.00139128,0.555802703,1.219739618,0.919555424,1.227717143,0.897700888,0.778596992,1.069647521,1.062709016,0.445588577,2.55,2.15,2.1,2.727272727,2.363636364,2.318181818,0.935,0.909615385,0.905882353
R_2ttiYzr7NJ4ZHOA,1/13/16 14:52,1/13/16 14:54,1,1,I went with shape of the picture rather than style drawn,29,1,1,,3,Test1|Test3|Test4|Test2,1/1/01,2/1/02,3/2/01,4/2/02,X1.1.1,1,Test1,1.1.1,1.2.1,1.1.2,right,1,1,1,1to2,1,1,0,0.631033183,0.368966817,0.598044397,0.401955603,0.595238095,0.404761905,0.735087719,0.264912281,0.708710407,0.291289593,0.702941176,0.297058824,1.392788649,1.379917486,1.362564828,0.316939549,0.346622598,0.350910364,1.489426251,0.534648612,2.029433802,0.980088602,1.993173616,0.967224474,1.012037432,1.504761202,1.480199045,0.62745098,0.37254902,0.627906977,0.372093023,0.619047619,0.380952381,0.733333333,0.266666667,0.711538462,0.288461538,0.705882353,0.294117647,1.00139128,0.555802703,1.219739618,0.919555424,1.227717143,0.897700888,0.778596992,1.069647521,1.062709016,0.445588577,2.55,2.15,2.1,2.727272727,2.363636364,2.318181818,0.935,0.909615385,0.905882353
R_31curm19oSOsYt3,1/13/16 14:53,1/13/16 14:56,1,1,No particular strategy.  I had to look at each picture and decide.  Each time it seemed to be something different I had to find that made them look similar.,68,2,1,,3,Test1|Test3|Test4|Test2,1/1/01,2/1/01,3/1/02,4/2/01,X1.1.1,2,Test1,1.1.1,1.2.1,1.1.2,left,1,1,1,1to2,1,0,1,0.631033183,0.368966817,0.598044397,0.401955603,0.595238095,0.404761905,0.735087719,0.264912281,0.708710407,0.291289593,0.702941176,0.297058824,1.392788649,1.379917486,1.362564828,0.316939549,0.346622598,0.350910364,1.489426251,0.534648612,2.029433802,0.980088602,1.993173616,0.967224474,1.012037432,1.504761202,1.480199045,0.62745098,0.37254902,0.627906977,0.372093023,0.619047619,0.380952381,0.733333333,0.266666667,0.711538462,0.288461538,0.705882353,0.294117647,1.00139128,0.555802703,1.219739618,0.919555424,1.227717143,0.897700888,0.778596992,1.069647521,1.062709016,0.445588577,2.55,2.15,2.1,2.727272727,2.363636364,2.318181818,0.935,0.909615385,0.905882353
R_1Lng9lDDq7JV1Ub,1/13/16 14:55,1/13/16 14:56,1,1,I looked at the lines creating the figure and the shape ,48,2,1,,5,Test2|Test3|Test1|Test4,1/1/01,2/1/02,3/2/01,4/1/01,X1.1.1,2,Test1,1.1.1,1.2.1,1.1.2,left,1,1,1,1to2,3,0,1,0.631033183,0.368966817,0.598044397,0.401955603,0.595238095,0.404761905,0.735087719,0.264912281,0.708710407,0.291289593,0.702941176,0.297058824,1.392788649,1.379917486,1.362564828,0.316939549,0.346622598,0.350910364,1.489426251,0.534648612,2.029433802,0.980088602,1.993173616,0.967224474,1.012037432,1.504761202,1.480199045,0.62745098,0.37254902,0.627906977,0.372093023,0.619047619,0.380952381,0.733333333,0.266666667,0.711538462,0.288461538,0.705882353,0.294117647,1.00139128,0.555802703,1.219739618,0.919555424,1.227717143,0.897700888,0.778596992,1.069647521,1.062709016,0.445588577,2.55,2.15,2.1,2.727272727,2.363636364,2.318181818,0.935,0.909615385,0.905882353
R_3Poan9R4hkK8MXz,1/13/16 15:01,1/13/16 15:03,1,1,just first impression,23,1,1,,2,Test2|Test4|Test1|Test3,1/1/01,2/1/02,3/1/02,4/2/01,X1.1.1,2,Test1,1.1.1,1.2.1,1.1.2,left,1,1,1,1to2,3,0,1,0.631033183,0.368966817,0.598044397,0.401955603,0.595238095,0.404761905,0.735087719,0.264912281,0.708710407,0.291289593,0.702941176,0.297058824,1.392788649,1.379917486,1.362564828,0.316939549,0.346622598,0.350910364,1.489426251,0.534648612,2.029433802,0.980088602,1.993173616,0.967224474,1.012037432,1.504761202,1.480199045,0.62745098,0.37254902,0.627906977,0.372093023,0.619047619,0.380952381,0.733333333,0.266666667,0.711538462,0.288461538,0.705882353,0.294117647,1.00139128,0.555802703,1.219739618,0.919555424,1.227717143,0.897700888,0.778596992,1.069647521,1.062709016,0.445588577,2.55,2.15,2.1,2.727272727,2.363636364,2.318181818,0.935,0.909615385,0.905882353
R_syU1tFMGw6MO4HD,1/13/16 15:04,1/13/16 15:05,1,1,Mainly choosing the outlines of pictures,61,2,1,,2,Test4|Test1|Test2|Test3,1/1/01,2/1/01,3/2/02,4/1/02,X1.1.1,2,Test1,1.1.1,1.2.1,1.1.2,left,1,1,1,1to2,2,0,1,0.631033183,0.368966817,0.598044397,0.401955603,0.595238095,0.404761905,0.735087719,0.264912281,0.708710407,0.291289593,0.702941176,0.297058824,1.392788649,1.379917486,1.362564828,0.316939549,0.346622598,0.350910364,1.489426251,0.534648612,2.029433802,0.980088602,1.993173616,0.967224474,1.012037432,1.504761202,1.480199045,0.62745098,0.37254902,0.627906977,0.372093023,0.619047619,0.380952381,0.733333333,0.266666667,0.711538462,0.288461538,0.705882353,0.294117647,1.00139128,0.555802703,1.219739618,0.919555424,1.227717143,0.897700888,0.778596992,1.069647521,1.062709016,0.445588577,2.55,2.15,2.1,2.727272727,2.363636364,2.318181818,0.935,0.909615385,0.905882353
